Date,Track Name,Artist,Genre,Tempo,Loudness,Productivity
2024-02-12,Give It All,Rise Against,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",126.910697937,0.908984184265,75.0
2024-02-12,Bad Habit,Steve Lacy,afrofuturism,126.910697937,0.908984184265,75.0
2024-02-12,Dancing in the Moonlight,Toploader,british alternative rock,150.040557861,0.954892337322,75.0
2024-02-12,Girl With The Tattoo Enter.lewd,Miguel,scenecore,112.04750061,0.75539380312,75.0
2024-02-12,Babydoll,Dominic Fike,"alternative pop rock, pov: indie",126.910697937,0.908984184265,75.0
2024-02-12,"10,000 Hours (with Justin Bieber)","Dan + Shay, Justin Bieber",pop,89.9493942261,0.924481570721,75.0
2024-02-12,My Way,Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance",126.910697937,0.908984184265,75.0
2024-02-12,Dirt Cheap,Cody Johnson,"classic texas country, contemporary country, modern country pop",132.981048584,0.777098476887,75.0
2024-02-12,Taş,Gökhan Türkmen,turkish pop,126.910697937,0.932381510735,75.0
2024-03-12,Before He Cheats,Carrie Underwood,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",126.910697937,0.908984184265,78.94736842
2024-03-12,Love Me Again,John Newman,dance pop,125.963882446,0.847758233547,78.94736842
2024-03-12,MONTAGEM DIAMANTE ROSA,"vtze archive, Mc Ster","new school turkce rap, turkce drill",172.265594482,0.9467202425,78.94736842
2024-03-12,Another Level,Oh The Larceny,"bossbeat, rebel blues",126.910697937,0.908984184265,78.94736842
2024-03-12,Close Eyes,DVRST,"chill phonk, drift phonk",126.910697937,0.908984184265,78.94736842
2024-03-12,Me And My Broken Heart,Rixton,"post-teen pop, talent show, teen pop, viral pop",126.910697937,0.908984184265,78.94736842
2024-03-12,Espresso,Sabrina Carpenter,pop,125.98135376,0.924481570721,78.94736842
2024-03-12,Little Things x Gypsy Woman - L BEATS MASHUP,Jorja Smith,"r&b, uk contemporary r&b",126.910697937,0.908984184265,78.94736842
2024-03-12,Stargazing,The Neighbourhood,"modern alternative rock, modern rock, pop",126.910697937,0.908984184265,78.94736842
