Track Name,Artist,Track ID,Genres,Tempo,Loudness,Danceability
I'm Yours,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,"acoustic pop, dance pop, neo mellow, pop",,,
Sway,Michael Bublé,2ajUl8lBLAXOXNpG4NEPMz,"adult standards, canadian pop, jazz pop, lounge",131.822555542,0.81537848711,
Feel Like Makin' Love,Roberta Flack,7gkboYtvhuXNS4EUwmFPcw,"adult standards, classic soul, disco, quiet storm, soft rock, soul, vocal jazz",,,
Yamore,"MoBlack, Salif Keita, Benja (NL), Franc Fala, Cesária Evora",480j122Gpi252OIfy4SNzm,afro house,,,
It's Not Right - Radio Edit,"Gianni Romano, Emanuele Esposito, Helen Tesfazghi",7x0RIQjVXoCyapWthlRG69,"afro house, latin house",,,
Rush,Ayra Starr,1rrqJ9QkOBYJlsZgqqwxgB,afrobeats,,,
Am I Wrong,Nico & Vinz,1fidCEsYlaVE3pHwKCvpFZ,afrobeats,119.938156128,0.898352503777,
Bad Habit,Steve Lacy,5CM4UuQ9Gnd6K2YyKGPMoK,afrofuturism,,,
Some,Steve Lacy,4riDfclV7kPDT9D58FpmHd,afrofuturism,107.603172302,0.0433345288038,
The Devil Went Down to Georgia,The Charlie Daniels Band,383Xl5QTigwj3QiA3Qc6S7,"album rock, classic rock, country, country rock, southern rock",,,
Ruled by Secrecy,Muse,4o4xJOBtK5keCSzmrEVP6K,"album rock, classic rock, hard rock, rock",,,
Dandelions,Ruth B.,2eAvDnpXP5W0cVtiI0PUxV,"alt z, canadian contemporary r&b, canadian pop, pop",,,
If We Were Vampires,Jason Isbell and the 400 Unit,250RLekaiL1q9qZer975Eg,"alternative country, folk, new americana, roots rock",,,
Give It All,Rise Against,5O6SumCYk8Ug81UbfXAPJC,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk",,,
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,"alternative pop rock, pov: indie",,,
Babydoll,Dominic Fike,7yNf9YjeO5JXUE3JEBgnYc,"alternative pop rock, pov: indie",,,
3 Nights,Dominic Fike,0uI7yAKUf52Cn7y3sYyjiX,"alternative pop rock, pov: indie",,,
A Storm on a Summers Day,"Full Crate, Gaidaa",4svk9KGtIVSEoeG2VjIUSy,"alternative r&b, arab alternative, indie r&b, sudanese pop",,,
Envious,SAULT,5QrhTxjhRFYqYjQeT0tqEa,"alternative r&b, indie soul, pop soul",131.999938965,0.922782719135,
Feet Don't Fail Me Now,Joy Crookes,5goqVeMYUQecvpcjNxpadU,"alternative r&b, uk contemporary r&b",,,
Kids,MGMT,1jJci4qxiYcOHhQR247rEU,"alternative rock, indie rock, indietronica, modern rock, rock",,,
I Am the Moon,The White Buffalo,0GQPSWoRGfwshYYv5nW5Ct,"alternative roots rock, new americana",154.748779297,0.509952485561,
Idea 10 (Slowed & Reverb),Gibran Alcocer,0Wzv6Y5yj6vVMeN2x2BBdg,ambient lo-fi,,,
Idea 10,Gibran Alcocer,1lb3H41lbvAN28N7yqRNL9,ambient lo-fi,,,
Idea 22 (Sped Up),Gibran Alcocer,1rylyCSL8sBFwlMfqwVZdL,ambient lo-fi,,,
Idea 15,Gibran Alcocer,7MJ8g0egEkhvGu44IamrDE,ambient lo-fi,,,
snowfall,"Øneheart, reidenshi",4xF4ZBGPZKxECeDFrqSAG4,ambient lo-fi,,,
Idea 22,Gibran Alcocer,1FCsK0oKWCtDOYRPYSrYgO,ambient lo-fi,,,
Solas,Gibran Alcocer,0yfMign5fsLtw5I4pK73ge,ambient lo-fi,,,
Reflections,Borrtex,49gFdRRGI5UMHb8j3VnD9x,ambient lo-fi,,,
Je te laisserai de mots,noel.smt,1491Kis263uUWf18sDnYSG,ambient lo-fi,,,
snowfall (Sped Up),"Øneheart, reidenshi",2kU3tL5BVXkFLefXLy8pBi,ambient lo-fi,,,
Idea 1,Gibran Alcocer,3kJACFlgn1rg0I0l4XmzLI,ambient lo-fi,,,
Idea 9,Gibran Alcocer,3TdROUy5JZz1OcBKMZjeux,ambient lo-fi,,,
interstellar.,"pandora., chillwithme, cødy",4eEfckO9ZJlMntQJFEjxq6,ambient lo-fi,,,
Idea 7,Gibran Alcocer,2n1U0UuPUHISJhvrFyHxy1,ambient lo-fi,,,
Cry,Cigarettes After Sex,3p4hRhMcb6ch8OLtATMaLw,"ambient pop, dream pop, el paso indie, shoegaze",,,
hotline (edit),Billie Eilish,0WFryfbNKPXVtVQlz5dZ8H,"art pop, pop",,,
a lot,21 Savage,2t8yVaLvJ0RenpXUIAC52d,"atl hip hop, hip hop, rap",,,
Crazy,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,"atl hip hop, neo soul",,,
We Are The People,Empire Of The Sun,6DG1vjbBFKJWVeihm4hK0X,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop",,,
Alive,Empire Of The Sun,2O9O26335YYVckmRgPKY3s,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop",110.034057617,0.894582569599,
Innerbloom - Radio Edit,RÜFÜS DU SOL,233AL29SR6QWnD7hu7ylbf,"australian electropop, indietronica",,,
Let It Happen,Tame Impala,2X485T9Z5Ly0xyaghN73ed,"australian psych, modern rock, neo-psychedelic, rock",139.631698608,0.833658516407,
Borderline,Tame Impala,5hM5arv9KDbCHS0k9uqwjr,"australian psych, modern rock, neo-psychedelic, rock",,,
The Less I Know The Better,Tame Impala,6K4t31amVTZDgR3sKmwUJJ,"australian psych, modern rock, neo-psychedelic, rock",,,
